year,country_name,country_code,GPCP,RainfallGrowth,LaggedRainfallGrowth,war_prio,InternalConflict,pop,lpopl1,Mountains,lmtnest,Oil,EthnicFrac,ReligiousFrac,Democracy,GDPGrowth,LaggedGDPGrowth,InitialGDP,polity2l_6,LaggedInternalConflict
1981,Guinea-Bissau,GNB,1339.057861328125,0.170644149184227,-0.04880325123667717,0,0,824,6.695798873901367,0,0,0,0.8037569522857666,0.5449999570846558,-7,0.21656057238578796,-0.15287771821022034,0.5559999942779541,0,NA
1982,Guinea-Bissau,GNB,1370.0728759765625,0.023161817342042923,0.170644149184227,0,0,839,6.714170455932617,0,0,0,0.8037569522857666,0.5449999570846558,-7,0.10471204668283463,0.21656057238578796,0.5559999942779541,0,0
1983,Guinea-Bissau,GNB,1075.4571533203125,-0.215036541223526,0.023161817342042923,0,0,854,6.732210636138916,0,0,0,0.8037569522857666,0.5449999570846558,-7,-0.042654044926166534,0.10471204668283463,0.5559999942779541,0,0
1984,Guinea-Bissau,GNB,1181.34619140625,0.09845955669879913,-0.215036541223526,0,0,870,6.749931335449219,0,0,0,0.8037569522857666,0.5449999570846558,-7,0.03465341404080391,-0.042654044926166534,0.5559999942779541,0,0
1985,Guinea-Bissau,GNB,1203.2623291015625,0.018551833927631378,0.09845955669879913,0,0,886,6.768493175506592,0,0,0,0.8037569522857666,0.5449999570846558,-8,0.0366826206445694,0.03465341404080391,0.5559999942779541,0,0
1986,Guinea-Bissau,GNB,1268.937255859375,0.054580722004175186,0.018551833927631378,0,0,903,6.786716938018799,0,0,0,0.8037569522857666,0.5449999570846558,-8,-0.03538462147116661,0.0366826206445694,0.5559999942779541,0,0
1987,Guinea-Bissau,GNB,1529.3798828125,0.20524469017982483,0.054580722004175186,0,0,921,6.805722713470459,0,0,0,0.8037569522857666,0.5449999570846558,-8,0,-0.03538462147116661,0.5559999942779541,0,0
1988,Guinea-Bissau,GNB,1677.5772705078125,0.09690031409263611,0.20524469017982483,0,0,939,6.825459957122803,0,0,0,0.8037569522857666,0.5449999570846558,-8,0.04306221753358841,0,0.5559999942779541,0,0
1989,Guinea-Bissau,GNB,1659.2518310546875,-0.010923752561211586,0.09690031409263611,0,0,959,6.844815254211426,0,0,0,0.8037569522857666,0.5449999570846558,-8,0.06727833300828934,0.04306221753358841,0.5559999942779541,0,0
1990,Guinea-Bissau,GNB,1294.712158203125,-0.21970123052597046,-0.010923752561211586,0,0,980,6.865890979766846,0,0,0,0.8037569522857666,0.5449999570846558,-8,-0.012893986888229847,0.06727833300828934,0.5559999942779541,0,0
1991,Guinea-Bissau,GNB,1522.45458984375,0.17590197920799255,-0.21970123052597046,0,0,1001,6.887552738189697,0,0,0,0.8037569522857666,0.5449999570846558,-6,-0.1393323838710785,-0.012893986888229847,0.5559999942779541,0,0
1992,Guinea-Bissau,GNB,1406.69970703125,-0.07603174448013306,0.17590197920799255,0,0,1022,6.908754825592041,0,0,0,0.8037569522857666,0.5449999570846558,-6,0.0691399797797203,-0.1393323838710785,0.5559999942779541,0,0
1993,Guinea-Bissau,GNB,1718.12109375,0.22138440608978271,-0.07603174448013306,0,0,1034.8900146484375,6.929516792297363,0,0,0,0.8037569522857666,0.5449999570846558,-6,-0.0011880502570420504,0.0691399797797203,0.5559999942779541,0,0
1994,Guinea-Bissau,GNB,1502.1427001953125,-0.12570615112781525,0.22138440608978271,0,0,1059.3800048828125,6.942050457000732,0,0,0,0.8037569522857666,0.5449999570846558,-6,0.008535893633961678,-0.0011880502570420504,0.5559999942779541,0,0
1995,Guinea-Bissau,GNB,1518.863037109375,0.011130991391837597,-0.12570615112781525,0,0,1086,6.965439319610596,0,0,0,0.8037569522857666,0.5449999570846558,5,0.01905321329832077,0.008535893633961678,0.5559999942779541,0,0
1996,Guinea-Bissau,GNB,1533.9615478515625,0.009940666146576405,0.011130991391837597,0,0,1111.9200439453125,6.990256309509277,0,0,0,0.8037569522857666,0.5449999570846558,5,0.021861791610717773,0.01905321329832077,0.5559999942779541,0,0
1997,Guinea-Bissau,GNB,1499.6370849609375,-0.022376351058483124,0.009940666146576405,0,0,1137.06005859375,7.013843536376953,0,0,0,0.8037569522857666,0.5449999570846558,5,0.031022602692246437,0.021861791610717773,0.5559999942779541,0,0
1998,Guinea-Bissau,GNB,1393.568115234375,-0.07072976231575012,-0.022376351058483124,1,1,1161.3299560546875,7.036201477050781,0,0,0,0.8037569522857666,0.5449999570846558,5,-0.2964378595352173,0.031022602692246437,0.5559999942779541,0,0
1999,Guinea-Bissau,GNB,1696.7952880859375,0.21759049594402313,-0.07072976231575012,0,1,NA,7.057321071624756,0,0,0,0.8037569522857666,0.5449999570846558,0,0.056630101054906845,-0.2964378595352173,0.5559999942779541,0,1
1981,Gambia,GMB,743.0120849609375,0.26019328832626343,-0.19194486737251282,0,1,656,6.4520487785339355,0,0,0,0.727814793586731,0.1818000078201294,8,-0.125860333442688,-0.013579105958342552,1.031000018119812,1,NA
1982,Gambia,GMB,659.883056640625,-0.11188112199306488,0.26019328832626343,0,0,678,6.486160755157471,0,0,0,0.727814793586731,0.1818000078201294,7,-0.01912263222038746,-0.125860333442688,1.031000018119812,1,1
